[I 2026-09-04 01:42:25,274] Trial 279 finished with values: [115211.80729166667, 0.7302738204598427, -1.7086663842201233] and parameters: {'encoder_layers': 2, 'encoder_hidden': 64, 'latent_dim': 4, 'gp_num_inducing': 512, 'gp_kernel': 'RBF', 'gp_periodic': False, 'gp_composition': 'multiplicative', 'gp_mean': 'Constant', 'lr': 0.0008681408145019698, 'gp_lr': 0.015958729947080228, 'var_weight': 45.83676974462478, 'cov_weight': 45.197479452435736, 'topo_weight': 2.804988248611534, 'ema_tau': 0.9905951340409401, 'aug_noise': 0.11949200015840532, 'aug_dropout': 0.2807929211166537}.
  Trial 280: JIT compilation took 0.0s
  Trial 280 | Epoch 000 | GP NLPD: 259711.30 | JEPA Loss:   0.72 | SR: 3.14
  Trial 280 | Epoch 010 | GP NLPD: 293626.77 | JEPA Loss:   0.58 | SR: 3.58
  Trial 280 | Epoch 020 | GP NLPD: 287026.45 | JEPA Loss:   0.68 | SR: 3.06
  Trial 280 | Epoch 030 | GP NLPD: 278335.32 | JEPA Loss:   0.75 | SR: 2.83
  Trial 280 | Epoch 040 | GP NLPD: 275434.90 | JEPA Loss:   0.76 | SR: 2.68
  Trial 280 | Epoch 050 | GP NLPD: 271169.11 | JEPA Loss:   0.76 | SR: 2.63
  Trial 280 | Epoch 060 | GP NLPD: 267250.15 | JEPA Loss:   0.77 | SR: 2.59
  Trial 280 | Epoch 070 | GP NLPD: 264735.71 | JEPA Loss:   0.78 | SR: 2.55
  Trial 280 | Epoch 080 | GP NLPD: 263948.81 | JEPA Loss:   0.79 | SR: 2.55
  Trial 280 | Epoch 090 | GP NLPD: 263476.30 | JEPA Loss:   0.80 | SR: 2.53
  Trial 280 | Epoch 100 | GP NLPD: 263858.42 | JEPA Loss:   0.80 | SR: 2.52
  Trial 280 | Epoch 110 | GP NLPD: 263595.33 | JEPA Loss:   0.80 | SR: 2.50
  Trial 280 | Epoch 120 | GP NLPD: 263516.45 | JEPA Loss:   0.81 | SR: 2.50
